id,nb_of_available_parking_spaces,ferme,parking_id,date
52686,603,f,LPA0768,2024-12-15 19:42:08
52685,220,f,LPA0752,2024-12-15 19:42:08
52683,291,f,LPA0746,2024-12-15 19:42:08
52682,1450,f,LPA0739,2024-12-15 19:42:08
52680,222,f,LPA0729,2024-12-15 19:42:08
52679,316,f,LPA0724,2024-12-15 19:42:08
52678,187,f,LPA0702,2024-12-15 19:42:08
52681,345,f,LPA0731,2024-12-15 19:42:08
52694,113,f,LPA0740,2024-12-15 19:43:07
52697,966,f,LPA0758,2024-12-15 19:43:07
52696,113,f,LPA0751,2024-12-15 19:43:07
52695,783,f,LPA0749,2024-12-15 19:43:07
52698,146,f,LPA0759,2024-12-15 19:43:07
52693,1446,f,LPA0739,2024-12-15 19:43:07
52691,387,f,LPA0716,2024-12-15 19:43:07
52690,272,f,LPA0765,2024-12-15 19:43:07
52689,484,f,LPA0706,2024-12-15 19:43:07
52688,311,f,LPA0703,2024-12-15 19:43:07
52692,169,f,LPA0732,2024-12-15 19:43:07
52709,203,f,LPA0776,2024-12-15 19:44:09
52708,147,f,LPA0759,2024-12-15 19:44:09
